Reaction,ReactionName,Flux
EX_glyald_e,"D-Glyceraldehyde exchange",0
EX_glcur_e,"D-Glucuronate exchange",0
ADPRDP,"ADPribose diphosphatase",0
DKGLCNR1,"2,5-diketo-D-gluconate reductase",0
NADTRHD,"NAD transhydrogenase",0
AACPS2,"Acyl-[acyl-carrier-protein] synthetase  (n-C14:1)",0
FMNRx2,"FMN reductase",0
ACPS1,"Acyl-carrier protein synthase",0
EX_nmn_e,"NMN exchange",0
EX_urea_e,"Urea exchange",0
ARAI,"L-arabinose isomerase",0
M1PD,"Mannitol-1-phosphate 5-dehydrogenase",0
G3PD2,"Glycerol-3-phosphate dehydrogenase (NADP)",0
GALS3,"A-galactosidase (melibiose)",0
FCI,"L-fucose isomerase",0
FCLK,"L-fuculokinase",0
FCLPA,"L-fuculose 1-phosphate aldolase",0
GMPS2,"GMP synthase",0
AMPN,"AMP nucleosidase",0
GSNK,"Guanosine kinase",0
ACCOAL,"Acetate-CoA ligase (ADP-forming)",1000
GALUi,"UTP-glucose-1-phosphate uridylyltransferase (irreversible)",4.01964071856283
AACPS3,"Acyl-[acyl-carrier-protein] synthetase  (n-C16:0)",0
U23GAAT,"UDP-3-O-(3-hydroxymyristoyl)glucosamine acyltransferase",0
EX_f6p_e,"D-fructose 6-phosphate exchange",0
UAAGDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",0
AACPS4,"Acyl-[acyl-carrier-protein] synthetase  (n-C16:1)",0
UAMAS,"UDP-N-acetylmuramoyl-L-alanine synthetase",0
UAMAGS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase",0
UGLYCH,"Ureidoglycolate hydrolase",0
NTPP3,"Nucleoside triphosphate pyrophosphorylase (dctp)",0
NTPP6,"Nucleoside triphosphate pyrophosphorylase (atp)",0
NTPP7,"Nucleoside triphosphate pyrophosphorylase (dttp)",0
EX_rmn_e,"L-Rhamnose exchange",0
NTPP8,"Nucleoside triphosphate pyrophosphorylase (utp)",0
P5CR,"Pyrroline-5-carboxylate reductase",0
CYANST,"Cyanide sulfurtransferase",0
EX_ttdca_e,"Tetradecanoate (n-C14:0) exchange",0
DHPPDA2,"Diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)",0
G5SADs,"L-glutamate 5-semialdehyde dehydratase (spontaneous)",0
GMAND,"GDP-D-mannose dehydratase",0
CYTD,"Cytidine deaminase",0
AKGDH,"2-Oxogluterate dehydrogenase",0
HPYRRx,"Hydroxypyruvate reductase (NADH)",0
GLYCDx,"Glycerol dehydrogenase",0
ASP1DC,"Aspartate 1-decarboxylase",0
UGMDDS,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine synthetase",0
DCYTD,"Deoxycytidine deaminase",0
DBTS,"Dethiobiotin synthase",0
DCTPD,"DCTP deaminase",0
UHGADA,"UDP-3-O-acetylglucosamine deacetylase",0
AMANK,"N-acetyl-D-mannosamine kinase",0
UAGAAT,"UDP-N-acetylglucosamine acyltransferase",0
ATPPRT,"ATP phosphoribosyltransferase",0
HISTD,"Histidinol dehydrogenase",0
DHDPS,"Dihydrodipicolinate synthase",0
G1PACT,"Glucosamine-1-phosphate N-acetyltransferase",4.01964071856283
GART,"GAR transformylase-T",0
CSND,"Cytosine deaminase",0
GF6PTA,"Glutamine-fructose-6-phosphate transaminase",4.01964071856283
IGPDH,"Imidazoleglycerol-phosphate dehydratase",0
EX_glyclt_e,"Glycolate exchange",0
PRPPS,"Phosphoribosylpyrophosphate synthetase",0
H2SO,"Hydrogen sulfide oxidation",0
GLUCYS,"Gamma-glutamylcysteine synthetase",0
PRATPP,"Phosphoribosyl-ATP pyrophosphatase",0
GLUN,"Glutaminase",0
PRMICI,"1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase",0
GLUPRT,"Glutamine phosphoribosyldiphosphate amidotransferase",0
EX_g6p_e,"D-Glucose 6-phosphate exchange",0
GMPR,"GMP reductase",0
SERAT,"Serine O-acetyltransferase",0
